# Week 4 — the words that separate a confident speaker from a fluent one, and
# the spellings that survive to the final exam: -ance/-ence, -ery/-ary/-ory,
# the doubled consonants nobody hears, and the borrowings that keep foreign spelling.
occur|əˈkɜː|oc-cur|অকার|ঘটা|verb|doubling_1_1_1|1158|ocur,occurr
control|kənˈtrəʊl|con-trol|কনট্রোল|নিয়ন্ত্রণ|noun|doubling_1_1_1|1159|controll,contol
patrol|pəˈtrəʊl|pa-trol|প্যাট্রোল|টহল|noun|doubling_1_1_1|1160|patroll,patrole
cancel|ˈkænsl|can-cel|ক্যানসেল|বাতিল করা|verb|soft_c|1161|cancle,cansel
quarrel|ˈkwɒrəl|quar-rel|কোয়ারেল|ঝগড়া|noun|q_takes_u|1162|quarel,quarrell
label|ˈleɪbl|la-bel|লেবেল|লেবেল|noun||1163|lable,labell
model|ˈmɒdl|mo-del|মডেল|নমুনা|noun||1164|modle,modell
level|ˈlevl|le-vel|লেভেল|স্তর|noun|no_final_v|1165|levle,levell
signal|ˈsɪɡnl|sig-nal|সিগন্যাল|সংকেত|noun|silent_letters|1166|signle,singal
total|ˈtəʊtl|to-tal|টোটাল|মোট|noun||1167|totle,totall
metal|ˈmetl|me-tal|মেটাল|ধাতু|noun||1168|mettal,metle
capital|ˈkæpɪtl|ca-pi-tal|ক্যাপিটাল|রাজধানী|noun||1169|capitle,capitall
vital|ˈvaɪtl|vi-tal|ভাইটাল|অত্যাবশ্যক|adjective||1170|vitle,vitall
digital|ˈdɪdʒɪtl|di-gi-tal|ডিজিটাল|ডিজিটাল|adjective|soft_g|1171|digitle,dijital
original|əˈrɪdʒənl|o-ri-gi-nal|অরিজিনাল|মূল|adjective|soft_g|1172|orignal,orijinal
individual|ˌɪndɪˈvɪdʒuəl|in-di-vi-dual|ইনডিভিজুয়াল|ব্যক্তি|noun|no_final_v|1173|indivdual,individal
casual|ˈkæʒuəl|ca-sual|ক্যাজুয়াল|অনানুষ্ঠানিক|adjective||1174|casuel,casaul
annual|ˈænjuəl|an-nual|অ্যানুয়াল|বার্ষিক|adjective|doubling_1_1_1|1175|anual,annuel
manual|ˈmænjuəl|ma-nual|ম্যানুয়াল|হাতে করা|adjective||1176|manuel,manaul
actual|ˈæktʃuəl|ac-tual|অ্যাকচুয়াল|প্রকৃত|adjective||1177|actuel,actaul
equal|ˈiːkwəl|e-qual|ইকোয়াল|সমান|adjective|q_takes_u|1178|equel,eqal
frequent|ˈfriːkwənt|fre-quent|ফ্রিকোয়েন্ট|ঘন ঘন|adjective|q_takes_u|1179|frequant,frecuent
sequence|ˈsiːkwəns|se-quence|সিকোয়েন্স|ক্রম|noun|q_takes_u|1180|sequance,secuence
adequate|ˈædɪkwət|a-de-quate|অ্যাডিকোয়েট|পর্যাপ্ত|adjective|q_takes_u|1181|adequete,adecuate
liquid|ˈlɪkwɪd|li-quid|লিকুইড|তরল|noun|q_takes_u|1182|licuid,liqid
squeeze|skwiːz|squeeze|স্কুইজ|চাপা|verb|q_takes_u|1183|squeaze,skweeze
square|skweə|square|স্কয়ার|বর্গ|noun|q_takes_u|1184|squar,skware
quarter|ˈkwɔːtə|quar-ter|কোয়ার্টার|এক-চতুর্থাংশ|noun|q_takes_u|1185|quartar,kwarter
quotation|kwəʊˈteɪʃn|quo-ta-tion|কোটেশন|উদ্ধৃতি|noun|q_takes_u|1186|quotasion,quotaton
acquire|əˈkwaɪə|ac-quire|অ্যাকোয়ার|অর্জন করা|verb|q_takes_u|1187|aquire,acquier
inquire|ɪnˈkwaɪə|in-quire|ইনকোয়ার|অনুসন্ধান করা|verb|q_takes_u|1188|inquier,enquire
conquer|ˈkɒŋkə|con-quer|কনকার|জয় করা|verb|q_takes_u|1189|conqer,conquor
banquet|ˈbæŋkwɪt|ban-quet|ব্যাংকোয়েট|ভোজসভা|noun|q_takes_u|1190|banqet,banquit
conquest|ˈkɒŋkwest|con-quest|কনকোয়েস্ট|বিজয়|noun|q_takes_u|1191|conqest,conquast
acknowledge|əkˈnɒlɪdʒ|ac-know-ledge|অ্যাকনলেজ|স্বীকার করা|verb|silent_letters|1192|aknowledge,acknowlege
column|ˈkɒləm|col-umn|কলাম|স্তম্ভ|noun|silent_letters|1193|colum,colomn
solemn|ˈsɒləm|so-lemn|সলেম|গম্ভীর|adjective|silent_letters|1194|solem,solomn
condemn|kənˈdem|con-demn|কনডেম|নিন্দা করা|verb|silent_letters|1195|condem,condemm
hymn|hɪm|hymn|হিম|স্তোত্র|noun|silent_letters|1196|him,hymne
muscle|ˈmʌsl|mus-cle|মাসল|পেশি|noun|silent_letters|1197|musle,muscel
scissors|ˈsɪzəz|scis-sors|সিজরস|কাঁচি|noun|silent_letters|1198|sissors,scisors
scene|siːn|scene|সিন|দৃশ্য|noun|silent_letters|1199|seen,scen
scent|sent|scent|সেন্ট|সুগন্ধ|noun|silent_letters|1200|sent,scennt
descend|dɪˈsend|des-cend|ডিসেন্ড|নামা|verb|soft_c|1201|desend,descened
ascend|əˈsend|as-cend|অ্যাসেন্ড|ওঠা|verb|soft_c|1202|asend,ascened
discipline|ˈdɪsəplɪn|dis-ci-pline|ডিসিপ্লিন|শৃঙ্খলা|noun|soft_c|1203|disipline,disciplin
fascinate|ˈfæsɪneɪt|fas-ci-nate|ফ্যাসিনেট|মুগ্ধ করা|verb|soft_c|1204|fasinate,facinate
adolescent|ˌædəˈlesnt|a-do-les-cent|অ্যাডোলেসেন্ট|কিশোর|noun|soft_c|1205|adolecent,adolescant
reign|reɪn|reign|রেইন|রাজত্ব|noun|i_before_e|1206|rein,riegn
resign|rɪˈzaɪn|re-sign|রিজাইন|পদত্যাগ করা|verb|silent_letters|1207|resine,rezign
accommodate|əˈkɒmədeɪt|ac-com-mo-date|অ্যাকোমোডেট|জায়গা দেওয়া|verb|drop_silent_e|1208|acommodate,accomodate
appropriate|əˈprəʊpriət|ap-pro-pri-ate|অ্যাপ্রোপ্রিয়েট|উপযুক্ত|adjective||1209|apropriate,appropiate
approximate|əˈprɒksɪmət|ap-pro-xi-mate|অ্যাপ্রক্সিমেট|আনুমানিক|adjective||1210|aproximate,approxmate
appreciate|əˈpriːʃieɪt|ap-pre-ci-ate|অ্যাপ্রিসিয়েট|প্রশংসা করা|verb|soft_c|1211|apreciate,appriciate
associate|əˈsəʊʃieɪt|as-so-ci-ate|অ্যাসোসিয়েট|যুক্ত করা|verb|soft_c|1212|asociate,assocate
communicate|kəˈmjuːnɪkeɪt|com-mu-ni-cate|কমিউনিকেট|যোগাযোগ করা|verb|drop_silent_e|1213|comunicate,communcate
concentrate|ˈkɒnsntreɪt|con-cen-trate|কনসেনট্রেট|মনোযোগ দেওয়া|verb|soft_c|1214|consentrate,concentrat
demonstrate|ˈdemənstreɪt|de-mons-trate|ডেমনস্ট্রেট|প্রদর্শন করা|verb|drop_silent_e|1215|demostrate,demonstate
illustrate|ˈɪləstreɪt|il-lus-trate|ইলাসট্রেট|চিত্রিত করা|verb|floss_doubling|1216|ilustrate,illustate
participate|pɑːˈtɪsɪpeɪt|par-ti-ci-pate|পার্টিসিপেট|অংশগ্রহণ করা|verb|soft_c|1217|particpate,participat
cooperate|kəʊˈɒpəreɪt|co-o-pe-rate|কোঅপারেট|সহযোগিতা করা|verb|drop_silent_e|1218|coperate,cooparate
celebrate|ˈseləbreɪt|ce-le-brate|সেলিব্রেট|উদযাপন করা|verb|soft_c|1219|celebrat,selebrate
separate|ˈsepəreɪt|se-pa-rate|সেপারেট|আলাদা করা|verb|drop_silent_e|1220|seperate,separat
operate|ˈɒpəreɪt|o-pe-rate|অপারেট|পরিচালনা করা|verb|drop_silent_e|1221|operat,oparate
generate|ˈdʒenəreɪt|ge-ne-rate|জেনারেট|উৎপন্ন করা|verb|soft_g|1222|generat,jenerate
estimate|ˈestɪmeɪt|es-ti-mate|এসটিমেট|অনুমান করা|verb|drop_silent_e|1223|estimat,estmate
calculate|ˈkælkjuleɪt|cal-cu-late|ক্যালকুলেট|গণনা করা|verb|drop_silent_e|1224|calcualte,calculat
indicate|ˈɪndɪkeɪt|in-di-cate|ইনডিকেট|নির্দেশ করা|verb|drop_silent_e|1225|indicat,indecate
educate|ˈedʒukeɪt|e-du-cate|এডুকেট|শিক্ষা দেওয়া|verb|drop_silent_e|1226|educat,edicate
graduate|ˈɡrædʒuət|gra-du-ate|গ্র্যাজুয়েট|স্নাতক|noun||1227|graduat,gradute
immediate|ɪˈmiːdiət|im-me-diate|ইমিডিয়েট|তাৎক্ষণিক|adjective||1228|imediate,immediat
intermediate|ˌɪntəˈmiːdiət|in-ter-me-diate|ইনটারমিডিয়েট|মধ্যবর্তী|adjective||1229|intermidiate,intermediat
accurate|ˈækjərət|ac-cu-rate|অ্যাকিউরেট|নির্ভুল|adjective||1230|acurate,accurat
literate|ˈlɪtərət|li-te-rate|লিটারেট|শিক্ষিত|adjective||1231|literat,littrate
illiterate|ɪˈlɪtərət|il-li-te-rate|ইলিটারেট|নিরক্ষর|adjective|floss_doubling|1232|iliterate,illitarate
private|ˈpraɪvət|pri-vate|প্রাইভেট|ব্যক্তিগত|adjective|no_final_v|1233|privat,privet
delicate|ˈdelɪkət|de-li-cate|ডেলিকেট|সূক্ষ্ম|adjective|soft_c|1234|delicat,delecate
moderate|ˈmɒdərət|mo-de-rate|মডারেট|পরিমিত|adjective||1235|moderat,modarate
opposite|ˈɒpəzɪt|op-po-site|অপোজিট|বিপরীত|adjective||1236|opposit,oposite
definite|ˈdefɪnət|de-fi-nite|ডেফিনিট|নির্দিষ্ট|adjective||1237|definate,definit
infinite|ˈɪnfɪnət|in-fi-nite|ইনফিনিট|অসীম|adjective||1238|infinate,infinit
favourite|ˈfeɪvrɪt|fa-vou-rite|ফেভারিট|প্রিয়|adjective|no_final_v|1239|favorite,favourit
temporary|ˈtemprəri|tem-po-ra-ry|টেমপোরারি|অস্থায়ী|adjective|y_to_i|1240|temporery,tempary|review

# --- Added: -ance/-ence and -ary/-ery/-ory, ranks 2596+ ---
acceptance|əkˈseptəns|ac-cep-tance|অ্যাকসেপ্টেন্স|স্বীকৃতি|noun|soft_c|2596|acceptence,aceptance
ignorance|ˈɪɡnərəns|ig-no-rance|ইগনোরেন্স|অজ্ঞতা|noun||2597|ignorence,ignorrance
tolerance|ˈtɒlərəns|to-le-rance|টলারেন্স|সহনশীলতা|noun||2598|tolerence,tollerance
vigilance|ˈvɪdʒɪləns|vi-gi-lance|ভিজিলেন্স|সতর্কতা|noun|soft_g|2599|vigilence,vijilance
abundance|əˈbʌndəns|a-bun-dance|অ্যাবানডেন্স|প্রাচুর্য|noun||2600|abundence,abbundance
elegance|ˈelɪɡəns|e-le-gance|এলিগেন্স|লালিত্য|noun||2601|elegence,ellegance
fragrance|ˈfreɪɡrəns|fra-grance|ফ্রেগ্রেন্স|সুবাস|noun||2602|fragrence,fregrance
grievance|ˈɡriːvns|grie-vance|গ্রিভেন্স|অভিযোগ|noun|i_before_e|2603|greivance,grievence
nuisance|ˈnjuːsns|nui-sance|নিউসেন্স|উপদ্রব|noun||2604|nuisence,nusance
clearance|ˈklɪərəns|clea-rance|ক্লিয়ারেন্স|ছাড়পত্র|noun||2605|clearence,clearrance
instance|ˈɪnstəns|in-stance|ইনসটেন্স|দৃষ্টান্ত|noun||2606|instence,instanse
substance|ˈsʌbstəns|sub-stance|সাবসটেন্স|পদার্থ|noun||2607|substence,substanse
circumstance|ˈsɜːkəmstəns|cir-cum-stance|সার্কামসটেন্স|পরিস্থিতি|noun|soft_c|2608|circumstence,circumstanse
significance|sɪɡˈnɪfɪkəns|sig-ni-fi-cance|সিগনিফিকেন্স|তাৎপর্য|noun|silent_letters|2609|significence,signifiance
relevance|ˈreləvəns|re-le-vance|রেলিভেন্স|প্রাসঙ্গিকতা|noun||2610|relevence,relavance
reluctance|rɪˈlʌktəns|re-luc-tance|রিলাকটেন্স|অনিচ্ছা|noun||2611|reluctence,reluctanse
remembrance|rɪˈmembrəns|re-mem-brance|রিমেমব্রেন্স|স্মরণ|noun||2612|remembrence,rememberance
disturbance|dɪˈstɜːbəns|dis-tur-bance|ডিসটার্বেন্স|বিঘ্ন|noun||2613|disturbence,distrubance
inheritance|ɪnˈherɪtəns|in-he-ri-tance|ইনহেরিটেন্স|উত্তরাধিকার|noun||2614|inheritence,inheritanse
acquaintance|əˈkweɪntəns|ac-quain-tance|অ্যাকোয়েনটেন্স|পরিচয়|noun|q_takes_u|2615|acquaintence,aquaintance
romance|rəʊˈmæns|ro-mance|রোমান্স|প্রেমকাহিনি|noun||2616|romence,romanse
advance|ədˈvɑːns|ad-vance|অ্যাডভান্স|অগ্রগতি|noun||2617|advence,adbance
appliance|əˈplaɪəns|ap-pli-ance|অ্যাপ্লায়েন্স|যন্ত্রপাতি|noun||2618|aplliance,applience
compliance|kəmˈplaɪəns|com-pli-ance|কমপ্লায়েন্স|পরিপালন|noun||2619|complience,complianse
defiance|dɪˈfaɪəns|de-fi-ance|ডিফায়েন্স|অবজ্ঞা|noun||2620|defience,defianse
reliance|rɪˈlaɪəns|re-li-ance|রিলায়েন্স|নির্ভরতা|noun||2621|relience,relianse
variance|ˈveəriəns|va-ri-ance|ভ্যারিয়েন্স|প্রকরণ|noun||2622|varience,varianse
inference|ˈɪnfərəns|in-fe-rence|ইনফারেন্স|অনুমান|noun||2623|inferance,inferrence
interference|ˌɪntəˈfɪərəns|in-ter-fe-rence|ইনটারফিয়ারেন্স|হস্তক্ষেপ|noun||2624|interferance,interferrence
recurrence|rɪˈkʌrəns|re-cur-rence|রিকারেন্স|পুনরাবৃত্তি|noun||2625|recurrance,recurence
persistence|pəˈsɪstəns|per-sis-tence|পারসিসটেন্স|অধ্যবসায়|noun||2626|persistance,persistense
insistence|ɪnˈsɪstəns|in-sis-tence|ইনসিসটেন্স|জেদ|noun||2627|insistance,insistense
consistence|kənˈsɪstəns|con-sis-tence|কনসিসটেন্স|সংগতি|noun||2628|consistance,consistense
dependence|dɪˈpendəns|de-pen-dence|ডিপেনডেন্স|নির্ভরশীলতা|noun||2629|dependance,dependense
residence|ˈrezɪdəns|re-si-dence|রেসিডেন্স|নিবাস|noun||2630|residance,residense
presence|ˈprezns|pre-sence|প্রেজেন্স|উপস্থিতি|noun||2631|presance,presense
absence|ˈæbsəns|ab-sence|অ্যাবসেন্স|অনুপস্থিতি|noun||2632|absance,absense
essence|ˈesns|es-sence|এসেন্স|সারমর্ম|noun||2633|essance,esence
impatience|ɪmˈpeɪʃns|im-pa-tience|ইমপেশেন্স|অধৈর্য|noun||2634|impatiance,impatiense
negligence|ˈneɡlɪdʒəns|neg-li-gence|নেগলিজেন্স|অবহেলা|noun|soft_g|2635|negligance,negligense
diligence|ˈdɪlɪdʒəns|di-li-gence|ডিলিজেন্স|পরিশ্রম|noun|soft_g|2636|diligance,diligense
eloquence|ˈeləkwəns|e-lo-quence|এলোকোয়েন্স|বাগ্মিতা|noun|q_takes_u|2637|eloquance,elokwence
adolescence|ˌædəˈlesns|a-do-les-cence|অ্যাডোলেসেন্স|কিশোরকাল|noun|soft_c|2638|adolescance,adolesence
coincidence|kəʊˈɪnsɪdəns|co-in-ci-dence|কোইনসিডেন্স|কাকতালীয় ঘটনা|noun|soft_c|2639|coincidance,coinsidence
competence|ˈkɒmpɪtəns|com-pe-tence|কমপিটেন্স|যোগ্যতা|noun||2640|competance,competense
confluence|ˈkɒnfluəns|con-flu-ence|কনফ্লুয়েন্স|সঙ্গম|noun||2641|confluance,confluense
voluntary|ˈvɒləntri|vo-lun-ta-ry|ভলানটারি|স্বেচ্ছাপ্রণোদিত|adjective|y_to_i|2642|voluntery,volantary
involuntary|ɪnˈvɒləntri|in-vo-lun-ta-ry|ইনভলানটারি|অনিচ্ছাকৃত|adjective|y_to_i|2643|involuntery,involantary
honorary|ˈɒnərəri|ho-no-ra-ry|অনোরারি|সম্মানসূচক|adjective|silent_letters|2644|honourary,honorery
contrary|ˈkɒntrəri|con-tra-ry|কনট্রারি|বিপরীত|adjective|y_to_i|2645|contrery,contrarry
primary|ˈpraɪməri|pri-ma-ry|প্রাইমারি|প্রাথমিক|adjective|y_to_i|2646|primery,primarry
secondary|ˈsekəndri|se-con-da-ry|সেকেনডারি|মাধ্যমিক|adjective|y_to_i|2647|secondery,secandary
elementary|ˌelɪˈmentri|e-le-men-ta-ry|এলিমেনটারি|প্রাথমিক|adjective|y_to_i|2648|elementery,elemantary
complementary|ˌkɒmplɪˈmentri|com-ple-men-ta-ry|কমপ্লিমেনটারি|পরিপূরক|adjective|y_to_i|2649|complimentary,complementery
supplementary|ˌsʌplɪˈmentri|sup-ple-men-ta-ry|সাপ্লিমেনটারি|অতিরিক্ত|adjective|y_to_i|2650|supplementery,suplementary
documentary|ˌdɒkjuˈmentri|do-cu-men-ta-ry|ডকুমেনটারি|প্রামাণ্যচিত্র|noun|y_to_i|2651|documentery,documantary
revolutionary|ˌrevəˈluːʃənri|re-vo-lu-tio-na-ry|রেভোলিউশনারি|বিপ্লবী|adjective|tion_sion|2652|revolutionery,revolusionary
extraordinary|ɪkˈstrɔːdnri|ex-tra-or-di-na-ry|এক্সট্রাঅর্ডিনারি|অসাধারণ|adjective|y_to_i|2653|extraordinery,extrordinary
imaginary|ɪˈmædʒɪnəri|i-ma-gi-na-ry|ইমাজিনারি|কাল্পনিক|adjective|soft_g|2654|imaginery,imajinary
customary|ˈkʌstəməri|cus-to-ma-ry|কাসটোমারি|প্রথাগত|adjective|y_to_i|2655|customery,custamary
momentary|ˈməʊməntri|mo-men-ta-ry|মোমেনটারি|ক্ষণস্থায়ী|adjective|y_to_i|2656|momentery,momantary
military|ˈmɪlətri|mi-li-ta-ry|মিলিটারি|সামরিক|adjective|y_to_i|2657|militery,millitary
solitary|ˈsɒlətri|so-li-ta-ry|সলিটারি|নিঃসঙ্গ|adjective|y_to_i|2658|solitery,sollitary
sanitary|ˈsænətri|sa-ni-ta-ry|স্যানিটারি|স্বাস্থ্যসম্মত|adjective|y_to_i|2659|sanitery,sannitary
salutary|ˈsæljutri|sa-lu-ta-ry|স্যালুটারি|হিতকর|adjective|y_to_i|2660|salutery,salutarry
dietary|ˈdaɪətri|di-e-ta-ry|ডায়েটারি|খাদ্যসংক্রান্ত|adjective|y_to_i|2661|dietery,dietarry
planetary|ˈplænɪtri|pla-ne-ta-ry|প্ল্যানেটারি|গ্রহসংক্রান্ত|adjective|y_to_i|2662|planetery,planatary
monetary|ˈmʌnɪtri|mo-ne-ta-ry|মনিটারি|আর্থিক|adjective|y_to_i|2663|monetery,monatary
budgetary|ˈbʌdʒɪtri|bud-ge-ta-ry|বাজেটারি|বাজেটসংক্রান্ত|adjective|soft_g|2664|budgetery,budgatary
vocabulary|vəˈkæbjələri|vo-ca-bu-la-ry|ভোকাবুলারি|শব্দভাণ্ডার|noun|y_to_i|2665|vocabulery,vocabolary
anniversary|ˌænɪˈvɜːsəri|an-ni-ver-sa-ry|অ্যানিভার্সারি|বার্ষিকী|noun|y_to_i|2666|aniversary,anniversery
adversary|ˈædvəsəri|ad-ver-sa-ry|অ্যাডভার্সারি|প্রতিপক্ষ|noun|y_to_i|2667|adversery,adbersary
missionary|ˈmɪʃənri|mis-sio-na-ry|মিশনারি|ধর্মপ্রচারক|noun|tion_sion|2668|missionery,misionary
visionary|ˈvɪʒənri|vi-sio-na-ry|ভিশনারি|দূরদর্শী|adjective|tion_sion|2669|visionery,visonary
reactionary|riˈækʃənri|re-ac-tio-na-ry|রিঅ্যাকশনারি|প্রতিক্রিয়াশীল|adjective|tion_sion|2670|reactionery,reacsionary
probationary|prəˈbeɪʃənri|pro-ba-tio-na-ry|প্রোবেশনারি|শিক্ষানবিশ-সংক্রান্ত|adjective|tion_sion|2671|probationery,probasionary
preliminary|prɪˈlɪmɪnəri|pre-li-mi-na-ry|প্রিলিমিনারি|প্রাথমিক|adjective|y_to_i|2672|preliminery,prelimenary
disciplinary|ˌdɪsəˈplɪnəri|dis-ci-pli-na-ry|ডিসিপ্লিনারি|শৃঙ্খলাসংক্রান্ত|adjective|soft_c|2673|disciplinery,diciplinary
veterinary|ˈvetrɪnəri|ve-te-ri-na-ry|ভেটেরিনারি|পশুচিকিৎসাসংক্রান্ত|adjective|y_to_i|2674|veterinery,vetenary
greenery|ˈɡriːnəri|gree-ne-ry|গ্রিনারি|সবুজ গাছপালা|noun|y_to_i|2675|greenary,grenery
brewery|ˈbruːəri|bre-we-ry|ব্রুয়ারি|মদ প্রস্তুতির কারখানা|noun|y_to_i|2676|brewary,bruery
pottery|ˈpɒtəri|pot-te-ry|পটারি|মাটির পাত্র|noun|y_to_i|2677|potery,pottary
cutlery|ˈkʌtləri|cut-le-ry|কাটলারি|ছুরি-কাঁটা|noun|y_to_i|2678|cutlary,cuttlery
crockery|ˈkrɒkəri|croc-ke-ry|ক্রোকারি|বাসনপত্র|noun|ck_after_short_vowel|2679|crockary,crokery
upholstery|ʌpˈhəʊlstəri|up-hol-ste-ry|আপহোলসটারি|গদির কাজ|noun|y_to_i|2680|upholstary,uphlostery
embroidery|ɪmˈbrɔɪdəri|em-broi-de-ry|এমব্রয়ডারি|সূচিকর্ম|noun|y_to_i|2681|embroidary,embrodery
flattery|ˈflætəri|flat-te-ry|ফ্ল্যাটারি|চাটুকারিতা|noun|y_to_i|2682|flatery,flattary
slavery|ˈsleɪvəri|sla-ve-ry|স্লেভারি|দাসপ্রথা|noun|y_to_i|2683|slavary,slaverry
bravery|ˈbreɪvəri|bra-ve-ry|ব্রেভারি|সাহসিকতা|noun|y_to_i|2684|bravary,braverry
robbery|ˈrɒbəri|rob-be-ry|রবারি|ডাকাতি|noun|y_to_i|2685|robery,robbary
burglary|ˈbɜːɡləri|bur-gla-ry|বার্গলারি|সিঁধেল চুরি|noun|y_to_i|2686|burglery,burgalary
treachery|ˈtretʃəri|trea-che-ry|ট্রেচারি|বিশ্বাসঘাতকতা|noun|y_to_i|2687|treachary,trechery
mockery|ˈmɒkəri|moc-ke-ry|মকারি|উপহাস|noun|ck_after_short_vowel|2688|mockary,mokery
drudgery|ˈdrʌdʒəri|drud-ge-ry|ড্রাজারি|নীরস পরিশ্রম|noun|dge_after_short_vowel|2689|drudgary,drugery
imagery|ˈɪmɪdʒəri|i-ma-ge-ry|ইমাজারি|চিত্রকল্প|noun|soft_g|2690|imagary,imajery
misery|ˈmɪzəri|mi-se-ry|মিজারি|দুর্দশা|noun|y_to_i|2691|misary,mizery
monastery|ˈmɒnəstri|mo-nas-te-ry|মনাসটারি|মঠ|noun|y_to_i|2692|monastary,monestery
adultery|əˈdʌltəri|a-dul-te-ry|অ্যাডালটারি|পরকীয়া|noun|y_to_i|2693|adultary,adulterry
lottery|ˈlɒtəri|lot-te-ry|লটারি|লটারি|noun|y_to_i|2694|lotery,lottary
dormitory|ˈdɔːmətri|dor-mi-to-ry|ডরমিটরি|ছাত্রাবাস|noun|y_to_i|2695|dormitary,dormetory
advisory|ədˈvaɪzəri|ad-vi-so-ry|অ্যাডভাইজরি|পরামর্শমূলক|adjective|y_to_i|2696|advisary,adbisory
compulsory|kəmˈpʌlsəri|com-pul-so-ry|কমপালসরি|বাধ্যতামূলক|adjective|y_to_i|2697|compulsary,compulsery
obligatory|əˈblɪɡətri|ob-li-ga-to-ry|অবলিগেটরি|অবশ্যপালনীয়|adjective|y_to_i|2698|obligatary,obligetory
satisfactory|ˌsætɪsˈfæktəri|sa-tis-fac-to-ry|স্যাটিসফ্যাকটরি|সন্তোষজনক|adjective|y_to_i|2699|satisfactary,satisfectory
contradictory|ˌkɒntrəˈdɪktəri|con-tra-dic-to-ry|কনট্রাডিকটরি|পরস্পরবিরোধী|adjective|y_to_i|2700|contradictary,contradictery
introductory|ˌɪntrəˈdʌktəri|in-tro-duc-to-ry|ইনট্রোডাকটরি|সূচনামূলক|adjective|y_to_i|2701|introductary,intoductory
preparatory|prɪˈpærətri|pre-pa-ra-to-ry|প্রিপারেটরি|প্রস্তুতিমূলক|adjective|y_to_i|2702|preparatary,prepratory
explanatory|ɪkˈsplænətri|ex-pla-na-to-ry|এক্সপ্ল্যানেটরি|ব্যাখ্যামূলক|adjective|y_to_i|2703|explanatary,explainatory
celebratory|ˌseləˈbreɪtri|ce-le-bra-to-ry|সেলিব্রেটরি|উৎসবমুখর|adjective|soft_c|2704|celebratary,celabratory
migratory|ˈmaɪɡrətri|mi-gra-to-ry|মাইগ্রেটরি|পরিযায়ী|adjective|y_to_i|2705|migratary,migretory
circulatory|ˈsɜːkjələtri|cir-cu-la-to-ry|সার্কুলেটরি|সংবহনতন্ত্রীয়|adjective|soft_c|2706|circulatary,sirculatory
respiratory|rəˈspɪrətri|res-pi-ra-to-ry|রেসপিরেটরি|শ্বাসতন্ত্রীয়|adjective|y_to_i|2707|respiratary,respiretory
sensory|ˈsensəri|sen-so-ry|সেনসরি|ইন্দ্রিয়সংক্রান্ত|adjective|soft_c|2708|sensary,censory
accessory|əkˈsesəri|ac-ces-so-ry|অ্যাকসেসরি|উপকরণ|noun|soft_c|2709|accesory,accessary
embarrassment|ɪmˈbærəsmənt|em-bar-rass-ment|এমব্যারাসমেন্ট|অস্বস্তি|noun||2710|embarassment,embarrasment
harassment|ˈhærəsmənt|ha-rass-ment|হ্যারাসমেন্ট|হয়রানি|noun||2711|harrassment,harasment
assessment|əˈsesmənt|as-sess-ment|অ্যাসেসমেন্ট|মূল্যায়ন|noun||2712|assesment,asessment
aggression|əˈɡreʃn|ag-gres-sion|অ্যাগ্রেশন|আগ্রাসন|noun|tion_sion|2713|agression,aggresion
suppression|səˈpreʃn|sup-pres-sion|সাপ্রেশন|দমন|noun|tion_sion|2714|supression,suppresion
oppression|əˈpreʃn|op-pres-sion|অপ্রেশন|নিপীড়ন|noun|tion_sion|2715|opression,oppresion
compression|kəmˈpreʃn|com-pres-sion|কমপ্রেশন|সংকোচন|noun|tion_sion|2716|compresion,compretion
depression|dɪˈpreʃn|de-pres-sion|ডিপ্রেশন|বিষণ্নতা|noun|tion_sion|2717|depresion,depretion
obsession|əbˈseʃn|ob-ses-sion|অবসেশন|আসক্তি|noun|tion_sion|2718|obsesion,obsetion
succession|səkˈseʃn|suc-ces-sion|সাকসেশন|উত্তরাধিকারক্রম|noun|tion_sion|2719|succesion,sucession
commission|kəˈmɪʃn|com-mis-sion|কমিশন|কমিশন|noun|tion_sion|2720|comission,commision
omission|əˈmɪʃn|o-mis-sion|ওমিশন|বাদ পড়া|noun|tion_sion|2721|ommission,omision
admission|ədˈmɪʃn|ad-mis-sion|অ্যাডমিশন|ভর্তি|noun|tion_sion|2722|admision,addmission
transmission|trænzˈmɪʃn|trans-mis-sion|ট্রান্সমিশন|সঞ্চালন|noun|tion_sion|2723|transmision,transmition
emission|ɪˈmɪʃn|e-mis-sion|ইমিশন|নির্গমন|noun|tion_sion|2724|emision,emmission
dimension|daɪˈmenʃn|di-men-sion|ডাইমেনশন|মাত্রা|noun|tion_sion|2725|dimention,dimansion
suspension|səˈspenʃn|sus-pen-sion|সাসপেনশন|স্থগিতাদেশ|noun|tion_sion|2726|suspention,suspantion
comprehension|ˌkɒmprɪˈhenʃn|com-pre-hen-sion|কমপ্রিহেনশন|বোধগম্যতা|noun|tion_sion|2727|comprehention,comprihension
apprehension|ˌæprɪˈhenʃn|ap-pre-hen-sion|অ্যাপ্রিহেনশন|আশঙ্কা|noun|tion_sion|2728|aprehension,apprehention
expansion|ɪkˈspænʃn|ex-pan-sion|এক্সপ্যানশন|সম্প্রসারণ|noun|tion_sion|2729|expantion,expension
excursion|ɪkˈskɜːʃn|ex-cur-sion|এক্সকারশন|ভ্রমণ|noun|tion_sion|2730|excurtion,excusion
